order_date,country,device_type,traffic_source,product_category,previous_orders,avg_order_value_eur,order_value_eur,quantity,discount_rate,shipping_distance_km,review_score,risk_label
2024-01-03,Belgium,False,Paid Ads,0,3,28.66,33.71,2,0.12,105.7,4.4,False
2025-11-26,Netherlands,True,Email,1,6,41.93,73.29,3,0.03,528.2,4.8,False
2023-11-07,Netherlands,False,Organic Search,1,2,102.67,55.49,1,0.05,175.1,3.3,False
2024-05-28,Netherlands,False,Organic Search,2,3,72.71,112.54,5,0.22,271.4,4.2,True
2025-01-31,Netherlands,True,Direct,3,5,52.26,55.32,8,0.25,285.3,5.0,False
2025-04-05,Netherlands,False,Organic Search,3,1,22.84,38.26,1,0.35,670.0,4.4,False
2024-07-18,Netherlands,False,Social Media,4,1,84.27,36.36,1,0.03,201.2,3.7,False
2025-11-14,Italy,False,Marketplace,2,0,70.55,141.55,2,0.13,720.0,4.5,False
2024-11-10,Netherlands,True,Direct,2,0,21.65,25.37,2,0.17,374.4,5.0,False
2023-12-14,Netherlands,False,Social Media,1,6,15.68,19.06,1,0.17,136.3,4.2,False
2024-09-21,Germany,True,Social Media,2,0,47.71,93.8,4,0.13,411.9,4.8,False
2023-11-05,Turkey,True,Email,1,0,24.95,48.03,5,0.13,87.8,4.6,False
2024-10-14,France,False,Organic Search,5,4,64.38,60.15,1,0.13,595.5,4.8,False
2023-03-03,Belgium,False,Social Media,0,1,13.12,8.46,1,0.05,73.8,4.6,False
2025-04-01,Germany,False,Paid Ads,4,3,44.51,47.91,7,0.1,258.1,5.0,False
2025-06-30,Belgium,False,Email,2,6,53.62,75.78,1,0.02,299.5,3.4,True
2024-03-30,Spain,True,Marketplace,0,1,34.32,19.56,3,0.16,64.6,4.6,False
2023-05-08,Netherlands,False,Organic Search,2,2,54.96,136.02,2,0.37,359.1,4.2,False
2025-08-14,Germany,True,Marketplace,4,2,28.61,33.43,1,0.03,560.3,3.4,False
2023-03-24,Italy,False,Social Media,1,0,32.54,31.42,3,0.02,1234.6,3.9,False
2025-10-21,Germany,True,Direct,4,3,44.21,46.38,1,0.11,110.8,4.3,False
2025-04-23,Germany,False,Organic Search,6,1,33.54,48.11,6,0.07,309.9,4.3,False
2023-07-19,Germany,False,Paid Ads,0,0,30.93,22.03,1,0.16,514.0,4.4,False
2025-01-29,Belgium,True,Direct,7,3,63.31,70.59,1,0.31,304.9,4.4,False
2024-12-20,Netherlands,False,Paid Ads,2,2,20.77,45.24,1,0.13,114.3,3.5,True
2024-03-11,Netherlands,True,Social Media,7,2,50.13,32.86,2,0.03,341.9,4.6,True
2023-10-01,Netherlands,False,Marketplace,2,7,50.0,47.29,8,0.2,273.8,4.8,False
2024-06-02,Poland,True,Organic Search,1,0,21.83,22.53,1,0.05,477.0,4.5,False
2023-06-06,Germany,False,Email,2,4,64.94,213.48,2,0.01,514.2,4.9,False
2024-07-07,Belgium,False,Direct,4,0,133.22,127.14,1,0.0,349.0,4.0,True
2024-11-20,Turkey,False,Social Media,3,0,77.18,104.94,1,0.13,242.3,4.5,False
2023-12-22,Germany,False,Social Media,2,4,25.03,97.47,1,0.02,414.4,3.8,False
2024-11-04,France,True,Paid Ads,0,0,39.61,49.86,1,0.12,874.1,4.2,False
